table_id,month,age_group,vaccine_type,outcome,V0,V1,V2,population,all_vaccinated,cg_1,cg_2,VE_cg1,VE_cg1_CI_min,VE_cg1_CI_max,VE_cg2,VE_cg2_CI_min,VE_cg2_CI_max
table_1,june,51-70,unknown,4-severe,2429.0,61.0,103.0,3284276,515765,2768511,1790209,77.23833140104446,72.27659491367302,81.31205182785432,85.28156688527963,82.0731126882816,87.91578986437375
table_1,june,71-100,unknown,1-asymptomatic,1398.0,62.0,364.0,1422425,130239,1292186,831713,-158.3319907482514,-189.9531994444995,-130.15927250262536,-66.27488227019983,-86.62914165785793,-48.1405113283643
table_1,june,71-100,unknown,2-light,6221.0,318.0,1701.0,1422425,130239,1292186,831713,-171.2864426478908,-186.31857246814968,-157.04352089396596,-74.61298998287025,-84.29120293064906,-65.44303681294853
table_1,june,71-100,unknown,3-medium,5151.0,191.0,606.0,1422425,130239,1292186,831713,-16.725314500987576,-27.000236869464842,-7.281682154329294,24.869978857873498,18.255747747609576,30.949027958705024
table_1,june,71-100,unknown,4-severe,3153.0,75.0,174.0,1422425,130239,1292186,831713,45.24683154235313,36.2114529765584,53.00238685402636,64.75822985435931,58.9424048335502,69.7502409002986
table_3,june,18-50,unknown,5-lethal,158.0,,1.0,5760116,714995,5045121,2947963,95.53407428448867,68.0979322210655,99.37482132397591,97.39047214723374,81.35899448384036,99.63469590691018
table_3,june,51-100,unknown,5-lethal,1700.0,,70.0,4706701,646004,4060697,2621922,74.1170069243789,67.12739008362342,79.62043986599001,83.28779789016058,78.77469983022468,86.8412838863952
table_2,july,18-50,sputnik,4-severe,645.0,,13.0,5760116,907260,4852856,2947963,88.8818853973324,80.74756613217322,93.57938465512028,93.2460822084101,88.3047242407857,96.09967251096103
table_2,july,51-70,sputnik,4-severe,1819.0,,92.0,3284276,598574,2685702,1790209,76.60688534640902,71.15580068752065,81.02780364025246,84.40684618364567,80.77328259104044,87.35372030655734
table_2,july,71-100,sputnik,4-severe,2418.0,,151.0,1422425,142180,1280245,831713,42.4718800309245,32.18560480399357,51.19790455093172,62.626774372218065,55.94406423176632,68.29580465222526
table_2,july,18-50,epivac,4-severe,645.0,,7.0,5760116,907260,4852856,2947963,-91.31335778112495,-302.95557691071366,9.169141804435977,-16.217068906334433,-144.78338925205216,44.82302436268578
table_2,july,51-70,epivac,4-severe,1819.0,,24.0,3284276,598574,2685702,1790209,-97.8521524610408,-196.04222112417568,-32.22936270650143,-31.882354782893785,-97.33310662560879,11.859921528119767
table_2,july,71-100,epivac,4-severe,2418.0,,30.0,1422425,142180,1280245,831713,-395.44394892331223,-611.3588142777111,-245.06454632738607,-221.86587183769885,-362.13630743315406,-124.17117587937389
